prev	curr	type	n
Literature	Chemistry	external	42
other-internal	Physics	external	36
Biology	Wikipedia	external	41
other-internal	United_States	other	48
Main_Page	Mathematics	link	56
other-internal	Religion	link	54
History	Religion	other	53
other-empty	Geography	external	61
Technology	Sports	external	51
other-internal	World_War_II	link	52
Wikipedia	Literature	other	56
World_War_II	Chemistry	other	44
Philosophy	Mathematics	other	34
History	History	external	43
Main_Page	English_language	link	53
other-internal	Geography	link	46
Science	History	external	44
Chemistry	Earth	external	45
History	Music	link	44
World_War_II	Sports	link	56
History	Mathematics	external	42
Art	Religion	external	53
other-external	Art	other	52
Chemistry	English_language	external	51
other-internal	Philosophy	external	54
other-internal	Earth	other	37
World_War_II	Chemistry	link	42
Science	History	external	55
Science	Physics	link	59
Religion	Literature	link	46
other-external	World_War_II	external	49
Chemistry	Art	other	58
Chemistry	Literature	other	55
Geography	History	external	58
Biology	Philosophy	link	52
other-search	Geography	other	47
other-search	Science	link	49
Geography	Mathematics	external	59
Science	Religion	other	48
other-internal	Chemistry	external	50
other-external	United_States	external	51
Geography	Geography	external	64
Philosophy	Technology	link	44
Earth	Philosophy	other	47
Geography	Philosophy	link	61
other-external	Art	link	39
Philosophy	Wikipedia	other	46
other-empty	World_War_II	link	47
Music	Main_Page	other	49
Art	Music	external	42
English_language	Wikipedia	other	61
Main_Page	Science	other	38
Chemistry	Earth	other	53
Chemistry	History	external	54
Chemistry	Mathematics	other	53
Earth	Technology	other	52
Literature	Wikipedia	other	64
Religion	Science	external	50
Biology	World_War_II	external	54
Literature	Chemistry	link	53
Literature	United_States	link	52
Art	English_language	link	39
English_language	English_language	link	53
Art	Literature	other	54
other-empty	United_States	other	46
Mathematics	Biology	external	61
History	History	external	49
Music	Main_Page	other	38
Geography	Religion	link	45
other-empty	Literature	external	50
Main_Page	Music	link	42
Mathematics	Biology	external	40
History	History	external	63
World_War_II	Religion	other	50
Religion	Art	other	56
Philosophy	Mathematics	external	48
Wikipedia	Sports	external	41
World_War_II	World_War_II	link	58
Art	Music	other	49
Geography	Earth	other	47
other-internal	Biology	other	59
Literature	Sports	external	41
Geography	Science	external	34
Mathematics	History	external	55
Technology	History	external	48
Science	Sports	link	33
other-empty	World_War_II	other	61
Biology	World_War_II	external	54
United_States	Main_Page	other	38
Art	English_language	external	49
Science	Literature	other	62
English_language	English_language	external	55
Earth	Biology	link	46
Music	Earth	other	46
Physics	Biology	link	43
other-internal	Philosophy	external	46
English_language	Biology	link	55
other-empty	Geography	external	37
Main_Page	World_War_II	other	55
Literature	Art	other	58
other-internal	United_States	link	67
Wikipedia	Chemistry	link	47
Science	Music	other	52
other-search	Sports	external	48
Physics	Chemistry	external	53
United_States	Main_Page	link	45
History	Technology	link	39
other-empty	United_States	link	58
English_language	Technology	other	49
Geography	English_language	link	53
Mathematics	World_War_II	other	45
Biology	Religion	external	55
Main_Page	United_States	link	52
World_War_II	Main_Page	link	62
Technology	Science	external	61
other-internal	English_language	other	44
Physics	Main_Page	link	46
Religion	Mathematics	link	38
Earth	Literature	link	42
Chemistry	United_States	other	44
Biology	Science	other	45
Religion	English_language	link	63
Biology	Earth	link	43
Philosophy	English_language	other	55
Philosophy	Earth	link	58
Art	History	other	41
Sports	Literature	external	32
other-internal	Philosophy	other	49
Sports	Mathematics	external	54
other-internal	Art	link	62
World_War_II	Music	other	47
Technology	Religion	external	61
Philosophy	Mathematics	link	54
Chemistry	Chemistry	link	43
Sports	Music	other	45
Philosophy	Physics	external	52
Physics	Physics	link	70
Chemistry	Literature	other	56
Physics	Religion	other	50
Geography	Technology	link	42
Geography	Biology	external	49
other-external	Science	external	51
other-search	History	other	51
Sports	Philosophy	link	46
United_States	Geography	other	65
Music	Music	link	45
Physics	Art	other	42
other-external	Main_Page	other	45
other-empty	Wikipedia	link	47
Wikipedia	Religion	other	53
Religion	Biology	link	51
other-empty	World_War_II	other	49
Art	Philosophy	link	57
other-internal	United_States	link	38
Physics	Physics	other	42
Physics	Music	link	64
English_language	Religion	other	46
Philosophy	History	external	51
Chemistry	English_language	other	52
other-search	Main_Page	link	35
Geography	Biology	external	51
World_War_II	Religion	external	52
Physics	Geography	external	48
Chemistry	Technology	other	38
other-search	World_War_II	external	52
Chemistry	English_language	link	46
Main_Page	United_States	link	35
Sports	United_States	external	40
Literature	Technology	link	50
Physics	World_War_II	link	61
other-internal	Earth	external	58
Biology	Technology	external	55
Philosophy	Religion	external	61
English_language	Science	other	51
United_States	Physics	other	61
World_War_II	Geography	other	51
Biology	Literature	other	61
Literature	World_War_II	other	43
Technology	Sports	other	49
Wikipedia	Earth	other	48
Chemistry	United_States	other	52
Sports	Geography	link	48
other-internal	Art	external	45
Geography	History	other	56
History	World_War_II	link	56
other-empty	United_States	link	54
Mathematics	Geography	link	55
Science	Geography	other	51
Religion	Literature	external	50
Main_Page	Mathematics	other	52
Sports	Technology	external	58
other-external	Philosophy	other	43
other-search	Technology	external	27
Religion	Physics	other	57
United_States	Art	other	56
Chemistry	Mathematics	other	54
other-internal	Physics	other	45
Literature	English_language	external	42
Mathematics	Main_Page	link	58
Science	Wikipedia	external	44
Biology	Chemistry	link	51
Earth	Main_Page	other	56
Sports	Mathematics	other	50
Physics	Art	link	43
Technology	Physics	other	47
United_States	Technology	external	45
other-external	World_War_II	other	61
Main_Page	United_States	link	54
United_States	History	other	52
Art	English_language	link	54
Art	History	other	52
other-external	History	other	52
other-empty	Music	external	52
other-search	Science	other	34
Technology	Art	other	54
Art	History	other	50
Chemistry	Earth	other	47
Mathematics	Science	external	46
other-external	Literature	external	59
other-search	Science	link	46
Chemistry	Music	other	48
Art	Science	link	54
Mathematics	Art	external	52
other-search	Music	other	46
other-empty	United_States	other	58
other-empty	Physics	other	54
other-external	Technology	external	47
Sports	Philosophy	other	52
Wikipedia	Physics	external	43
Sports	English_language	other	65
other-external	Philosophy	external	53
Wikipedia	English_language	link	41
Earth	English_language	external	52
Sports	Music	other	53
Technology	Chemistry	link	53
other-empty	Philosophy	link	36
World_War_II	Philosophy	other	47
Main_Page	History	external	52
Mathematics	Literature	link	47
Philosophy	World_War_II	external	32
Biology	Technology	external	68
other-external	Music	other	49
Art	Earth	external	37
Physics	Art	external	41
other-search	Mathematics	external	44
Main_Page	Religion	external	56
Mathematics	Technology	external	48
Religion	Earth	external	56
Earth	World_War_II	other	60
Science	Literature	link	54
Religion	United_States	external	50
Science	Philosophy	other	62
other-empty	Music	other	43
Literature	History	link	49
History	Philosophy	other	59
World_War_II	Mathematics	external	55
World_War_II	Religion	link	47
Geography	Art	link	54
Technology	United_States	external	55
Biology	Mathematics	external	48
Literature	Religion	external	53
Music	Chemistry	other	54
other-internal	United_States	other	54
Wikipedia	Religion	other	58
Biology	Literature	link	41
Music	Earth	link	41
Technology	Physics	link	49
Geography	Earth	link	57
Technology	Earth	external	52
Earth	Sports	link	43
Physics	United_States	external	59
Physics	Music	external	53
United_States	Wikipedia	other	52
Geography	Religion	link	54
Technology	Physics	link	54
other-internal	World_War_II	link	40
Literature	Music	external	55
other-external	Main_Page	external	36
other-search	Sports	other	58
Earth	Science	link	57
Chemistry	History	external	53
United_States	United_States	other	52
other-search	Chemistry	external	49
Chemistry	Sports	external	42
Chemistry	Biology	link	50
English_language	World_War_II	external	52
Literature	Sports	external	47
Art	Main_Page	link	55
Religion	United_States	link	52
Mathematics	English_language	link	51
United_States	Philosophy	external	49
Philosophy	Philosophy	external	38
English_language	Literature	link	39
other-external	Mathematics	external	53
Religion	Earth	external	43
Science	English_language	other	53
Science	Technology	link	45
Technology	Mathematics	other	57
World_War_II	Music	external	40
other-search	Main_Page	external	49
other-search	Religion	link	48
Art	Biology	link	54
Art	United_States	link	49
Wikipedia	Literature	link	51
English_language	Technology	external	56
United_States	Mathematics	other	56
Mathematics	Biology	link	32
Mathematics	Biology	external	53
Music	Earth	external	49
World_War_II	History	external	49
Literature	Religion	other	49
Main_Page	Science	external	61
Geography	World_War_II	external	60
Religion	Art	external	46
Technology	English_language	external	40
Biology	Main_Page	link	49
United_States	Physics	other	59
Geography	Philosophy	other	43
other-internal	United_States	other	58
Music	Music	other	62
Art	Physics	other	54
World_War_II	Biology	other	41
Biology	Chemistry	other	43
other-external	Biology	external	58
Chemistry	Physics	external	53
History	Geography	link	49
Physics	Biology	other	47
other-internal	Geography	external	67
Sports	Science	other	54
other-empty	Physics	other	46
other-empty	Religion	other	48
Music	Science	external	45
Earth	Science	other	53
Religion	English_language	link	50
Physics	World_War_II	other	46
Sports	Science	external	52
Sports	Wikipedia	other	65
Music	Music	other	50
other-search	Literature	other	44
Geography	Religion	link	43
other-search	World_War_II	other	57
Art	Literature	external	47
World_War_II	Sports	link	41
Geography	Technology	link	34
Mathematics	Music	external	41
Chemistry	Science	link	46
Chemistry	Geography	external	47
Physics	Geography	link	53
Philosophy	Music	other	46
Mathematics	Mathematics	external	53
Wikipedia	Technology	external	45
Physics	Physics	other	49
Sports	Art	external	53
Music	Physics	link	48
Music	Biology	link	45
other-external	Main_Page	other	49
Music	World_War_II	other	56
other-external	Science	external	45
World_War_II	Science	external	55
English_language	Biology	external	44
Science	Chemistry	link	60
Science	Sports	external	49
English_language	Wikipedia	external	51
Sports	Physics	link	43
Chemistry	Philosophy	other	47
Science	Music	other	62
English_language	Geography	external	38
Physics	Earth	link	38
English_language	Art	link	53
Literature	Music	link	43
Chemistry	Mathematics	other	44
Wikipedia	Geography	external	44
English_language	United_States	other	45
Earth	Earth	other	46
History	Sports	external	57
Music	Main_Page	link	48
Geography	Wikipedia	link	56
Chemistry	Science	other	50
other-external	Earth	external	57
Main_Page	Sports	other	41
History	Religion	other	41
Philosophy	Mathematics	link	46
other-empty	Wikipedia	link	58
Sports	Chemistry	external	45
Music	Religion	link	46
World_War_II	Geography	other	46
Earth	English_language	link	34
Main_Page	Philosophy	external	57
Biology	Biology	other	52
English_language	Earth	link	51
Mathematics	Main_Page	link	44
Physics	Main_Page	link	45
Physics	Philosophy	link	49
English_language	Music	other	52
Sports	Sports	other	38
Biology	Sports	external	60
Geography	Chemistry	external	48
other-internal	Literature	external	54
Philosophy	Literature	link	50
United_States	Geography	external	48
Mathematics	Philosophy	other	44
Biology	Main_Page	link	60
English_language	Earth	other	48
Religion	Art	other	47
Chemistry	Physics	external	51
Earth	Sports	other	43
Earth	Physics	external	48
Philosophy	English_language	other	43
Sports	Science	external	43
Chemistry	Mathematics	link	44
History	Art	external	54
other-external	United_States	external	54
Music	English_language	link	56
United_States	Physics	external	40
Literature	Mathematics	external	57
Biology	Mathematics	link	50
Geography	Chemistry	external	34
Technology	Physics	other	44
Mathematics	Literature	other	45
Music	Earth	external	40
other-empty	Wikipedia	link	53
Sports	Sports	other	52
Chemistry	Music	other	47
Mathematics	Sports	link	65
Philosophy	Earth	external	38
Biology	Music	external	48
Literature	Religion	other	55
Music	Technology	external	48
Religion	Mathematics	other	53
Science	Science	link	54
World_War_II	Art	other	52
Religion	History	external	44
Geography	Earth	other	54
Wikipedia	Mathematics	external	46
other-external	Art	other	57
Music	Earth	link	62
other-search	Chemistry	other	58
History	Music	external	57
Philosophy	Technology	link	48
Earth	Mathematics	other	40
Music	Religion	link	53
other-empty	United_States	link	57
Sports	United_States	other	43
Earth	Sports	link	42
Geography	Literature	other	51
Biology	Main_Page	other	52
United_States	Mathematics	other	48
Physics	Biology	external	46
United_States	Biology	link	47
Science	Main_Page	link	46
other-search	Physics	link	54
other-external	Wikipedia	external	53
World_War_II	Music	other	47
Wikipedia	English_language	link	58
Physics	Wikipedia	other	56
Literature	Art	other	45
other-external	World_War_II	link	40
Main_Page	Biology	external	34
Literature	Earth	external	39
World_War_II	Sports	external	61
Music	World_War_II	link	55
other-search	Mathematics	other	46
Science	Mathematics	external	49
English_language	Art	link	42
History	World_War_II	external	44
Main_Page	Technology	other	44
United_States	World_War_II	external	52
Religion	History	link	60
Earth	World_War_II	other	47
Philosophy	History	link	30
other-empty	Earth	other	49
Chemistry	Science	other	49
Biology	Mathematics	other	57
other-external	Science	link	51
Chemistry	Main_Page	external	58
Wikipedia	Mathematics	link	43
other-external	Science	other	41
Technology	Physics	other	42
Literature	Sports	other	65
Religion	History	other	46
Wikipedia	Wikipedia	link	42
World_War_II	Biology	other	56
Biology	Literature	link	53
World_War_II	World_War_II	external	54
Art	Mathematics	external	51
United_States	Earth	external	60
other-search	Art	other	49
Main_Page	United_States	external	63
Religion	Chemistry	other	59
English_language	Physics	other	52
Music	Technology	other	48
Literature	Geography	external	52
Main_Page	United_States	external	55
other-search	United_States	other	44
Sports	Wikipedia	link	43
Wikipedia	Science	external	52
Science	United_States	link	50
Science	Music	link	53
Physics	United_States	link	39
Chemistry	Literature	external	54
Wikipedia	Chemistry	external	63
Sports	Art	external	46
Earth	Chemistry	other	51
Science	Sports	external	59
Wikipedia	Physics	link	48
Main_Page	Science	link	49
Technology	Geography	other	60
Earth	Art	other	52
other-empty	Physics	other	34
Biology	Art	link	51
Literature	History	external	53
other-search	Chemistry	external	55
Geography	English_language	link	52
Chemistry	Physics	other	56
Sports	Literature	external	60
other-external	World_War_II	external	60
other-external	Earth	link	57
other-external	History	external	45
Mathematics	World_War_II	external	40
World_War_II	History	other	48
other-internal	Music	external	49
English_language	Wikipedia	external	47
English_language	Wikipedia	external	52
Science	World_War_II	link	61
Physics	Geography	external	48
Wikipedia	Science	other	51
Earth	English_language	link	54
Physics	Earth	external	51
World_War_II	Main_Page	external	51
Technology	Religion	link	48
Main_Page	Sports	external	52
other-search	English_language	link	43
Sports	Music	external	49
Wikipedia	Science	external	49
English_language	Sports	other	45
Main_Page	Earth	other	43
Wikipedia	Science	link	57
World_War_II	United_States	link	57
Physics	Music	link	55
Philosophy	Art	other	46
other-empty	Music	other	48
Earth	Philosophy	other	39
United_States	Main_Page	external	52
United_States	Physics	link	40
Religion	English_language	link	49
World_War_II	Art	link	47
Biology	History	external	42
Main_Page	Science	other	53
Main_Page	Physics	external	58
Biology	Technology	external	40
Sports	Chemistry	link	43
Main_Page	Music	other	43
other-internal	Music	other	43
Music	Sports	external	41
Geography	United_States	other	70
other-empty	Science	external	51
other-internal	Geography	external	59
Philosophy	Physics	external	60
Philosophy	Mathematics	external	48
Earth	Music	link	47
Art	Chemistry	external	49
Music	Music	external	49
English_language	Wikipedia	external	58
Science	Main_Page	link	52
Art	Chemistry	other	54
Art	Religion	external	37
World_War_II	World_War_II	link	50
World_War_II	Music	link	45
Art	Wikipedia	external	55
other-search	Physics	other	51
English_language	Religion	link	44
Sports	Geography	link	50
other-external	Science	link	32
English_language	Mathematics	link	63
Philosophy	Physics	link	41
Mathematics	Biology	external	48
Technology	Sports	link	56
Biology	Literature	external	54
other-empty	Physics	link	50
Art	Wikipedia	link	49
Physics	United_States	other	48
Physics	Philosophy	link	47
Mathematics	Chemistry	external	54
Physics	Wikipedia	other	51
Wikipedia	English_language	other	48
other-search	Philosophy	link	49
Wikipedia	Literature	other	47
Mathematics	United_States	other	69
Chemistry	Science	external	48
Music	Main_Page	external	51
Chemistry	Sports	external	58
English_language	Art	link	41
Mathematics	Science	other	42
other-internal	Chemistry	external	53
Main_Page	Wikipedia	external	50
English_language	Philosophy	external	54
Wikipedia	Philosophy	other	51
Main_Page	Literature	link	46
other-search	United_States	external	45
Geography	Art	other	64
Philosophy	United_States	external	38
History	Chemistry	link	63
Sports	Music	other	47
other-search	Science	link	46
Art	Biology	link	55
other-external	Wikipedia	link	53
History	Chemistry	other	53
Biology	Physics	external	38
Wikipedia	Biology	external	49
Geography	Biology	external	41
Science	Technology	other	57
Sports	English_language	external	50
Chemistry	Philosophy	other	46
Chemistry	Biology	other	60
United_States	Biology	link	44
History	Mathematics	external	61
Philosophy	Earth	external	42
English_language	Chemistry	link	61
Technology	United_States	other	62
Philosophy	Sports	external	49
other-search	Art	link	45
Religion	Chemistry	link	38
History	Main_Page	link	44
History	Science	external	54
World_War_II	Technology	link	41
Earth	Physics	other	51
Technology	Wikipedia	external	48
World_War_II	World_War_II	external	61
other-external	Mathematics	other	47
Literature	Religion	external	74
Chemistry	Science	link	40
other-search	Earth	external	58
World_War_II	Religion	other	48
English_language	Geography	other	50
Earth	Art	link	39
Geography	Sports	link	48
Philosophy	United_States	other	44
World_War_II	Art	other	56
Mathematics	Wikipedia	external	59
Science	Geography	external	49
Geography	Philosophy	link	42
History	Geography	link	46
other-external	Sports	external	45
Philosophy	Religion	external	41
English_language	English_language	other	52
Chemistry	Philosophy	other	39
Music	Science	link	44
English_language	Geography	link	43
Sports	Biology	link	45
Science	Wikipedia	other	49
English_language	Earth	link	36
other-external	Biology	link	62
Religion	Technology	other	48
Sports	Mathematics	external	48
English_language	Music	external	47
Physics	Geography	other	46
Mathematics	Art	external	50
Biology	Art	external	55
Mathematics	World_War_II	other	56
Physics	Science	link	51
other-search	Wikipedia	other	48
Philosophy	Science	external	50
Technology	Literature	link	53
Music	Philosophy	other	42
Technology	Music	other	53
Physics	Wikipedia	link	44
other-internal	World_War_II	link	66
English_language	English_language	link	46
United_States	Music	external	63
Physics	Geography	other	52
Literature	Biology	link	53
English_language	Science	external	53
Earth	Religion	link	53
Geography	Earth	link	50
World_War_II	Music	external	47
Biology	Biology	link	58
Religion	Chemistry	external	49
Physics	Philosophy	external	55
Technology	Philosophy	other	43
Mathematics	Geography	other	56
Art	Music	link	52
other-empty	Wikipedia	external	46
English_language	Science	other	47
Earth	Sports	link	51
History	English_language	external	51
Technology	History	other	43
Sports	Earth	external	34
Chemistry	Biology	external	39
Music	Technology	link	43
Technology	Geography	link	50
Science	Physics	other	47
History	English_language	other	48
World_War_II	Art	other	47
Physics	Biology	external	49
Philosophy	Main_Page	other	51
Philosophy	Philosophy	other	50
Main_Page	Earth	link	47
Sports	Chemistry	other	50
Music	English_language	external	44
Wikipedia	English_language	external	45
Technology	History	other	51
other-internal	Earth	other	50
Technology	Art	other	41
Chemistry	History	other	46
Main_Page	Religion	other	39
Main_Page	Biology	external	62
Biology	Earth	external	51
English_language	World_War_II	link	54
other-external	Literature	link	55
other-search	Music	external	53
other-search	Religion	other	53
Religion	Chemistry	link	57
Philosophy	History	other	53
Technology	Physics	other	49
Art	Art	link	59
Music	Chemistry	other	50
History	Art	other	43
Religion	Biology	other	57
other-internal	United_States	external	40
Physics	Philosophy	other	63
History	English_language	other	45
United_States	Science	link	40
other-empty	Wikipedia	link	61
Religion	Chemistry	external	52
Biology	Religion	other	53
United_States	World_War_II	link	48
Religion	Physics	link	44
other-external	Main_Page	link	45
United_States	Literature	link	38
Technology	World_War_II	link	52
Technology	World_War_II	link	48
other-internal	Geography	link	39
Religion	Literature	other	47
other-external	Wikipedia	other	49
Literature	Technology	link	47
Religion	English_language	other	43
Technology	English_language	link	55
Science	Music	other	47
Sports	Earth	other	56
other-search	Wikipedia	other	34
Mathematics	Earth	link	54
other-search	Sports	link	62
English_language	Biology	other	50
Physics	Art	other	55
Religion	Art	link	53
Sports	History	other	52
Mathematics	World_War_II	external	42
other-internal	English_language	external	58
Earth	Sports	external	53
Biology	Wikipedia	link	54
World_War_II	Technology	link	56
Biology	Geography	other	61
Chemistry	Main_Page	other	62
other-search	Biology	other	62
Biology	World_War_II	other	52
Science	History	link	47
Music	English_language	link	54
Wikipedia	World_War_II	external	54
History	Chemistry	link	47
other-empty	History	other	47
United_States	Literature	external	34
Main_Page	Mathematics	external	55
other-empty	Art	other	38
other-internal	History	link	59
other-external	World_War_II	external	49
Technology	Music	external	55
Sports	Chemistry	link	54
Music	Mathematics	external	51
English_language	United_States	other	45
Physics	Physics	external	58
Art	Literature	external	50
Technology	Music	link	59
Science	Geography	other	56
Religion	Earth	other	44
Mathematics	Literature	external	50
other-empty	Earth	external	45
Biology	Science	other	58
other-empty	Wikipedia	link	40
Geography	Main_Page	link	54
Geography	Philosophy	link	51
Literature	Mathematics	link	46
Wikipedia	Music	other	51
Main_Page	Sports	other	46
World_War_II	Science	link	51
Technology	History	link	39
Biology	Science	other	55
English_language	Sports	other	42
other-internal	Geography	link	47
Sports	Religion	external	61
Technology	Literature	link	49
other-external	History	link	37
Technology	Sports	external	46
Literature	Science	link	59
other-external	English_language	other	50
Wikipedia	Physics	other	43
History	Biology	other	39
Physics	Wikipedia	link	38
Religion	Science	link	51
Science	Physics	link	45
Mathematics	United_States	external	60
Art	World_War_II	external	48
Mathematics	Science	external	45
English_language	Literature	link	43
Main_Page	United_States	other	47
United_States	Art	external	45
other-empty	Physics	external	52
English_language	Mathematics	link	45
Technology	Wikipedia	link	57
Philosophy	Earth	link	55
English_language	Biology	link	56
History	Literature	link	46
other-search	Biology	other	54
other-external	Biology	other	45
other-empty	Religion	other	60
Literature	Religion	link	47
Biology	History	other	43
Technology	Sports	other	46
History	Art	link	49
Wikipedia	Mathematics	external	47
English_language	Biology	link	57
Science	World_War_II	link	49
Literature	Main_Page	external	52
Art	Earth	other	63
English_language	United_States	other	63
other-empty	Sports	other	46
World_War_II	World_War_II	other	52
Earth	Physics	other	39
Religion	Literature	external	55
Music	Wikipedia	external	54
Wikipedia	Sports	other	56
Geography	Physics	other	55
Sports	History	external	52
Biology	Sports	other	59
World_War_II	Earth	other	37
English_language	United_States	external	45
other-search	Mathematics	other	39
Physics	Literature	external	56
Biology	Earth	other	45
other-empty	Technology	link	55
Music	Philosophy	link	50
World_War_II	Music	other	61
other-search	Science	external	50
Chemistry	United_States	other	52
Science	Religion	external	40
Earth	Music	link	50
other-search	Technology	other	65
World_War_II	Philosophy	external	52
Chemistry	Sports	link	41
Sports	Mathematics	other	53
Chemistry	World_War_II	external	52
Physics	Earth	external	40
Mathematics	Biology	link	45
other-search	Technology	other	51
other-internal	Music	external	46
other-empty	Geography	external	48
Physics	History	other	54
English_language	Religion	link	57
Sports	Technology	external	48
History	Main_Page	external	53
Religion	Chemistry	external	52
Mathematics	Science	other	54
Philosophy	United_States	external	51
Chemistry	Music	link	52
English_language	Sports	link	45
Sports	World_War_II	other	40
Mathematics	Biology	other	56
Art	Religion	other	49
Chemistry	Science	link	50
Literature	Art	external	49
Mathematics	Science	external	50
Biology	Biology	link	59
Biology	Wikipedia	link	53
Literature	Earth	link	49
World_War_II	Technology	external	39
Religion	Religion	other	49
Art	Literature	other	52
Chemistry	Art	link	45
Literature	Geography	link	54
Religion	Music	link	46
other-empty	Mathematics	link	46
Mathematics	Sports	external	40
Literature	Wikipedia	other	67
English_language	Religion	link	56
other-internal	English_language	other	46
Science	Main_Page	other	50
Earth	Main_Page	other	58
Earth	Main_Page	link	43
other-search	Technology	link	56
History	Main_Page	link	52
Chemistry	Mathematics	link	49
Main_Page	Technology	link	62
Religion	Chemistry	external	44
Main_Page	Wikipedia	other	40
Earth	Biology	other	41
Literature	Religion	other	33
Main_Page	Sports	link	58
other-search	Art	link	40
other-internal	United_States	other	52
Sports	United_States	link	61
Geography	Earth	link	41
English_language	Chemistry	external	63
Sports	English_language	other	55
other-internal	Philosophy	external	41
Physics	World_War_II	link	72
Technology	Technology	external	48
Sports	Science	link	53
Geography	Philosophy	other	49
Sports	Earth	link	48
United_States	Mathematics	link	43
Technology	Geography	link	63
Sports	Earth	link	47
United_States	Technology	link	52
Biology	English_language	external	50
Technology	World_War_II	other	46
Chemistry	Mathematics	other	53
Sports	Religion	external	51
other-empty	Mathematics	external	62
other-external	Chemistry	external	53
World_War_II	World_War_II	link	49
Art	Sports	other	62
Geography	Biology	other	49
English_language	Physics	other	45
Philosophy	Wikipedia	external	56
Geography	Main_Page	other	49
other-external	Physics	external	61
English_language	Physics	other	68
United_States	Literature	other	42
Earth	Religion	other	50
Music	English_language	external	43
Philosophy	World_War_II	link	46
Science	English_language	external	46
Geography	World_War_II	other	44
Mathematics	Chemistry	link	47
other-internal	Philosophy	link	44
Mathematics	Sports	other	39
Earth	Mathematics	external	44
Philosophy	World_War_II	link	40
other-search	History	link	50
Philosophy	Philosophy	external	56
other-internal	Main_Page	external	55
Main_Page	English_language	external	38
Earth	Art	link	52
World_War_II	Mathematics	link	54
Art	Chemistry	other	57
Main_Page	Art	link	47
History	World_War_II	external	56
Geography	Physics	link	52
Religion	World_War_II	other	56
other-search	Main_Page	other	57
Biology	Biology	other	42
Biology	Science	external	55
Wikipedia	Religion	external	49
Chemistry	Literature	external	50
English_language	Main_Page	external	61
English_language	Earth	external	42
other-external	Literature	external	46
Main_Page	Physics	external	49
Earth	English_language	external	45
Music	Wikipedia	external	64
Chemistry	World_War_II	link	50
English_language	History	link	48
History	Sports	external	48
Earth	Philosophy	external	52
Sports	Biology	other	56
Science	Music	other	55
English_language	Philosophy	other	51
United_States	Mathematics	external	49
Biology	Geography	link	57
other-internal	English_language	link	54
World_War_II	Biology	other	53
Physics	Technology	external	58
other-empty	Art	other	47
Religion	Geography	link	46
Art	Earth	other	54
Geography	United_States	other	56
Music	World_War_II	other	39
United_States	United_States	external	64
Music	Biology	link	57
Chemistry	Earth	link	44
Science	United_States	external	48
United_States	Mathematics	other	48
Chemistry	United_States	link	57
other-empty	History	external	36
History	English_language	other	42
Art	Science	other	57
Philosophy	Mathematics	link	53
History	Technology	link	50
Wikipedia	World_War_II	link	40
Wikipedia	Sports	external	53
Main_Page	Geography	external	60
Sports	English_language	external	43
World_War_II	Mathematics	link	39
Literature	Mathematics	link	46
other-external	Wikipedia	external	48
Art	Physics	external	48
Science	Literature	external	42
other-internal	Physics	external	39
United_States	Religion	other	46
Literature	United_States	link	56
other-empty	Religion	other	43
World_War_II	Art	external	44
Geography	Wikipedia	link	48
Chemistry	English_language	other	56
Geography	Physics	external	54
Mathematics	History	external	47
Sports	Wikipedia	external	46
Geography	Chemistry	other	44
Philosophy	Philosophy	link	36
Chemistry	Earth	other	48
Mathematics	Sports	external	46
History	Physics	link	56
Sports	History	external	53
Art	Chemistry	external	60
Art	United_States	other	50
Mathematics	Technology	link	48
other-external	History	other	50
other-empty	Art	other	47
Music	Religion	other	42
Biology	Main_Page	other	50
Religion	History	link	57
World_War_II	Main_Page	external	56
History	United_States	other	51
other-search	Technology	other	54
Philosophy	Chemistry	external	47
Art	Geography	other	48
Art	Literature	other	48
Music	Chemistry	other	42
Mathematics	Technology	link	52
Mathematics	Main_Page	link	48
other-external	Art	external	48
Technology	Earth	other	50
World_War_II	United_States	other	46
Religion	Mathematics	link	59
Biology	Biology	link	51
Earth	Physics	link	37
Literature	Chemistry	other	44
Sports	Art	other	55
Mathematics	Technology	external	37
Music	Music	other	35
other-empty	Philosophy	external	42
World_War_II	Philosophy	external	53
Sports	English_language	link	31
United_States	Biology	link	44
World_War_II	Technology	other	46
Earth	Religion	other	58
other-search	Art	other	61
Main_Page	World_War_II	link	49
Chemistry	Main_Page	link	50
Mathematics	United_States	external	53
Wikipedia	Physics	link	51
Religion	Geography	other	38
Technology	Earth	external	55
Music	Literature	external	44
Literature	Physics	link	60
Main_Page	Physics	other	53
other-search	Geography	other	64
Philosophy	Earth	link	44
Technology	Religion	link	49
Technology	Chemistry	link	53
other-internal	World_War_II	link	59
Literature	Mathematics	link	68
Music	English_language	external	61
Literature	Art	link	53
other-search	Mathematics	link	60
Music	Religion	external	42
Religion	Philosophy	link	57
Literature	Geography	external	42
Philosophy	Mathematics	other	44
Art	Geography	link	48
other-empty	Literature	other	49
Art	Art	other	42
English_language	Art	link	52
World_War_II	World_War_II	link	50
Geography	Sports	other	60
Science	English_language	other	50
Mathematics	Music	external	61
Music	Mathematics	link	34
History	Mathematics	external	52
Science	Technology	external	56
United_States	Main_Page	other	64
Geography	History	external	59
other-empty	Art	external	30
Religion	World_War_II	external	60
Music	Sports	link	54
other-external	Literature	external	46
Mathematics	United_States	link	53
Philosophy	Art	link	49
Chemistry	History	other	53
Art	Earth	link	51
Geography	English_language	external	43
Biology	Science	link	39
other-external	Biology	other	55
other-external	United_States	external	50
